UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,TopicsDiversity
100267,0.6429105407425878,-0.2978432043820609,-0.10256410256410256,-0.11293260473588343,-0.13471502590673576,-0.11169693419254052,-0.049723756906077346,0.0,-0.09973753280839895,0.0,-0.043853820598006646,0.08,-0.8001617571017765
100324,0.09220034886618507,1.250256761383088,-0.08933002481389578,-0.09034608378870675,1.848013816925734,1.820347588361648,-0.12154696132596685,0.6666666666666666,-0.13648293963254593,0.16666666666666666,-0.08106312292358804,-0.18666666666666668,-0.6598994649306557
100345,0.3563418888612017,0.08421773365285856,0.4466501240694789,0.419672131147541,-0.15198618307426598,-0.17965241163835188,0.4088397790055249,0.0,0.4094488188976378,0.0,0.33222591362126247,0.7466666666666667,-0.8100035196036217
100543,-0.24171442810864732,1.1961656966792191,0.9396195202646815,0.7373406193078325,1.7858376511226253,0.9716852177309119,1.856353591160221,2.0,1.4960629921259843,0.0,1.8750830564784053,1.1466666666666667,-0.9489054400219008
100569,-0.3364066782955401,-0.4162957891133174,-0.13234077750206782,-0.17704918032786884,-0.13126079447322972,-0.1687170474516696,-0.13812154696132597,0.0,-0.1732283464566929,0.0,-0.12358803986710963,-0.5333333333333333,1.000000248016958
100744,0.29155245452280143,0.3012666894899007,1.8676592224979323,0.7664845173041894,-0.13471502590673576,-0.16715485256785784,1.0165745856353592,0.6666666666666666,1.8267716535433072,0.16666666666666666,0.7534883720930232,0.24,-0.9999997519830419
100781,-0.40617991527535585,-0.3800068469702157,-0.12903225806451613,-0.17486338797814208,-0.08981001727115717,-0.13278656512399922,-0.12154696132596685,0.0,-0.14698162729658792,0.0,-0.11694352159468438,-0.48,1.000000248016958
101010,0.14951407924246227,-0.17117425539198905,0.019851116625310174,-0.01238615664845173,0.14162348877374784,-0.0632688927943761,0.049723756906077346,0.0,0.010498687664041995,0.16666666666666666,-0.0106312292358804,0.29333333333333333,-0.3292476101674648
101042,0.29902815848492453,1.480314960629921,0.3870967741935484,0.8167577413479052,1.067357512953368,1.820347588361648,1.856353591160221,1.0,1.2913385826771653,0.3333333333333333,1.2385382059800665,0.7733333333333333,-0.8280697052846961
101047,-0.2766010465985552,1.5734337555631632,1.8676592224979323,1.1642987249544627,1.4404145077720207,1.820347588361648,0.8839779005524862,2.0,1.3438320209973753,0.16666666666666666,0.878405315614618,0.9066666666666666,-0.8651138242286549
101048,-0.30899576376775534,0.26018486819582326,-0.0827129859387924,-0.13260473588342442,0.11053540587219343,0.8701425502831478,-0.10497237569060773,0.0,-0.10498687664041995,0.0,-0.10631229235880399,-0.3466666666666667,-0.34992292822647403
101227,0.3388985796162478,0.013009243409791125,-0.12903225806451613,-0.17194899817850637,1.848013816925734,0.5787932044522555,-0.13812154696132597,0.0,-0.1732283464566929,0.0,-0.11960132890365449,-0.48,1.000000248016958
101253,0.24919013207077045,1.3563847997261211,1.0818858560794045,1.1948998178506376,1.848013816925734,1.1193126342511228,1.856353591160221,0.0,1.8267716535433072,0.16666666666666666,1.7156146179401994,0.9333333333333333,-0.7170808877752343
