UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,MostPopularTopicPostsAmount,TopicsDiversity
500226,387.0,177.29083665338646,733.0,4277.0,11.0,290.0,728.0,1.0,685.0,9.0,1618.0,38.0,984.0,1.044221141068125
500229,438.0,225.1792828685259,401.0,2017.0,88.0,2157.0,175.0,8.0,271.0,0.0,709.0,59.0,156.0,1.0800763416347783
500237,129.0,140.398406374502,400.0,2519.0,114.0,131.0,73.0,0.0,300.0,0.0,493.0,35.0,175.0,1.0838177872206496
500238,301.0,54.820717131474105,104.0,371.0,61.0,328.0,71.0,0.0,64.0,0.0,187.0,30.0,47.0,1.1418207226330723
500252,262.0,9.880478087649402,25.0,88.0,6.0,17.0,11.0,0.0,17.0,0.0,37.0,13.0,7.0,1.5016934028801656
500253,370.0,123.10756972111554,47.0,94.0,119.0,2241.0,17.0,10.0,19.0,1.0,39.0,15.0,7.0,1.4498042849539234
500256,470.0,40.63745019920319,121.0,443.0,12.0,60.0,25.0,0.0,76.0,0.0,168.0,41.0,41.0,1.1051051751817569
500259,271.0,38.24701195219124,34.0,436.0,4.0,54.0,26.0,0.0,69.0,0.0,158.0,18.0,84.0,1.1101524569510701
500260,250.0,187.17131474103587,1075.0,3938.0,56.0,389.0,534.0,0.0,644.0,2.0,2528.0,61.0,1313.0,1.0320667112506399
500272,201.0,74.26294820717132,106.0,376.0,35.0,584.0,96.0,1.0,102.0,0.0,257.0,39.0,56.0,1.1248773333329016
500274,207.0,74.66135458167331,8.0,19.0,468.0,1874.0,7.0,0.0,6.0,0.0,15.0,10.0,4.0,1.4549914146182013
500276,490.0,237.37051792828686,1194.0,5840.0,6.0,124.0,314.0,0.0,753.0,1.0,2028.0,35.0,1014.0,1.0588070577429671
500279,53.0,96.17529880478088,112.0,360.0,454.0,1216.0,53.0,0.0,41.0,0.0,121.0,32.0,13.0,1.337584512376516
